ema1_period,ema2_period,ema3_period,total_return,annualized_return,max_drawdown,volatility,sharpe_ratio,sortino_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,trades_per_year
7,137,100,-0.9393002573715197,-0.5593222189673015,-0.972992204553321,0.8156108250553686,-0.6007700641358393,-0.8881290768795271,,,,0.689516005960724,13,38.46153846153847,0.2859066203441211,-0.11436499852757266,0.11905172205788099,0.2602504488934812,0.4574505925505937,2.6276978417266186
7,137,103,-0.9390698836372109,-0.5588337203855551,-0.9713043043504842,0.8159435390342696,-0.5988749493673104,-0.8858449357041372,,,,0.6734034496309185,13,30.76923076923077,0.31244632072598516,-0.11079349594255562,0.16363131917723386,0.2327600804402398,0.7030042216334667,2.6276978417266186
7,137,106,-0.942573087099973,-0.5664082132276574,-0.9729541758158068,0.816758641450585,-0.6185758483615811,-0.9134893585853725,,,,0.6906174901015955,12,33.33333333333333,0.2983181169453582,-0.12557265686648747,0.16016060599922455,0.2684392882993435,0.5966362338907164,2.4255672385168787
7,137,109,-0.9309297040472717,-0.5423537454387396,-0.9693911113022562,0.8161372584844888,-0.553654852092131,-0.8194287982287313,,,,0.6742468317684971,11,27.27272727272727,0.30816741433420586,-0.12928165031177086,0.21115142591424352,0.25694405389652625,0.8217797715578822,2.223436635307139
7,137,112,-0.9310536283885391,-0.5425940429886871,-0.9716213915899699,0.8129277396748686,-0.5596065850670445,-0.8274099371047097,,,,0.6822607669709462,11,27.27272727272727,0.28806843662444637,-0.1322426234423895,0.19620059251432945,0.2554088294261591,0.7681824976651902,2.223436635307139
7,137,115,-0.9310493952954575,-0.5425858297004309,-0.970322263005137,0.812368984554104,-0.5605204554662369,-0.8286297931067301,,,,0.6797308120856618,11,27.27272727272727,0.2896506928489086,-0.13122792860761867,0.19620059251432945,0.25401362402834926,0.7724018475970896,2.223436635307139
7,137,118,-0.9370739668346691,-0.5546552080912757,-0.9727597011910237,0.8597661736952176,-0.5145772661836939,-0.7604620097485799,,,,0.6973663161422977,10,30.0,0.29598063999314095,-0.14254492410575065,0.19976031087261914,0.28924716766790903,0.6906214933173289,2.021306032097399
7,140,100,-0.9373547603292043,-0.5552373356038819,-0.9721265734338849,0.8155375920004388,-0.5895986086749836,-0.8717303904595176,,,,0.684980255935875,14,42.857142857142854,0.2929441337132819,-0.10403624963284634,0.10057558076926644,0.25749512243443096,0.3905921782843758,2.8298284449363584
7,140,103,-0.9361383948668188,-0.5527287904619091,-0.9699236880875138,0.8158465428854034,-0.5822213694719216,-0.8614300917328795,,,,0.6694518071842467,14,35.714285714285715,0.3128724921606811,-0.10178358070568183,0.12976745966461842,0.23042304757807092,0.5631704858892259,2.8298284449363584
7,140,106,-0.9392913439124753,-0.5593032939494873,-0.9714086034563583,0.8166676485300919,-0.5988615976510718,-0.88459179116287,,,,0.6842530489372395,13,38.46153846153847,0.30652444247060745,-0.11291678445302174,0.12976745966461842,0.26459443702654684,0.49043910795297185,2.6276978417266186
