series,total_return,annualized_return,annualized_vol,sharpe,max_drawdown
baseline,0.6621358852500703,0.02825867616619756,0.016066527558042627,1.7588539940636865,-0.02046823428590686
ml,0.05613060779096757,0.0030246329329920397,0.0016045862254038276,1.8849924579346478,-0.0023382140367027566
ml_meta,0.05235480017415162,0.0028261100141127745,0.0014433675366460278,1.9579974901471342,-0.002086392837670856
