datetime,portfolio_return_hmm
2018-01-01 00:00:00+00:00,0.0
2018-01-02 00:00:00+00:00,0.0
2018-01-03 00:00:00+00:00,0.0
2018-01-04 00:00:00+00:00,-0.00040939217804864176
2018-01-05 00:00:00+00:00,0.0023538008703273636
2018-01-07 00:00:00+00:00,0.0
2018-01-08 00:00:00+00:00,0.0011403744394765038
2018-01-09 00:00:00+00:00,0.0014258907614349621
2018-01-10 00:00:00+00:00,0.00021574445163124038
2018-01-11 00:00:00+00:00,0.00028558850320507746
2018-01-12 00:00:00+00:00,0.0020156774976134327
2018-01-14 00:00:00+00:00,0.0
2018-01-15 00:00:00+00:00,-0.00036583247806606017
2018-01-16 00:00:00+00:00,0.0
2018-01-17 00:00:00+00:00,0.0014664531823936216
2018-01-18 00:00:00+00:00,0.0005931047119608318
2018-01-19 00:00:00+00:00,0.0019230536138506826
2018-01-21 00:00:00+00:00,0.0
2018-01-22 00:00:00+00:00,0.001382844872114237
2018-01-23 00:00:00+00:00,0.0004811361084125848
2018-01-24 00:00:00+00:00,0.0006576157911029153
2018-01-25 00:00:00+00:00,-0.000536069621365036
2018-01-26 00:00:00+00:00,0.0018420031865240287
2018-01-28 00:00:00+00:00,0.0
2018-01-29 00:00:00+00:00,-0.0008673037806514833
2018-01-30 00:00:00+00:00,-0.0022621848182212854
2018-01-31 00:00:00+00:00,-0.000276860644422897
2018-02-01 00:00:00+00:00,0.0
2018-02-02 00:00:00+00:00,-0.0017752951320473154
2018-02-04 00:00:00+00:00,0.0
2018-02-05 00:00:00+00:00,-0.0031232313779494935
2018-02-06 00:00:00+00:00,-0.0005778849074937088
2018-02-07 00:00:00+00:00,0.00032725281693943325
2018-02-08 00:00:00+00:00,-0.0041858090832644
2018-02-09 00:00:00+00:00,-0.000575071675166164
2018-02-11 00:00:00+00:00,0.0
2018-02-12 00:00:00+00:00,0.002785983771023727
2018-02-13 00:00:00+00:00,0.00017164178699887033
2018-02-14 00:00:00+00:00,0.0020123753581243555
2018-02-15 00:00:00+00:00,0.0011659397432313568
2018-02-16 00:00:00+00:00,0.00070422798672536
2018-02-18 00:00:00+00:00,0.0
2018-02-19 00:00:00+00:00,-0.0005162387011184504
2018-02-20 00:00:00+00:00,0.0006794005902182256
2018-02-21 00:00:00+00:00,0.0009485618793102003
2018-02-22 00:00:00+00:00,-0.0006165969853991845
2018-02-23 00:00:00+00:00,0.0011538763400687885
2018-02-25 00:00:00+00:00,0.0
2018-02-26 00:00:00+00:00,0.002151965810701991
