split,ml_meta_annualized_vol,ml_annualized_vol,mean_abs_exposure,mean_order_size,median_order_size,p90_order_size,annualized_turnover
train,0.0014348487593722097,0.0015958909068380992,0.9000122981592337,0.03853052066510311,2.3865490123009536e-06,1.1020052727772623e-05,9.709691207605983
test,0.0014520375416584143,0.0016135842609047103,0.9000107445591883,0.0852537608422889,2.247702501789739e-06,1.4435798550516146e-05,21.483947732256805
