datetime,portfolio_return_ml
2018-01-01 00:00:00+00:00,0.0
2018-01-02 00:00:00+00:00,0.0
2018-01-03 00:00:00+00:00,-0.0
2018-01-04 00:00:00+00:00,-0.0
2018-01-05 00:00:00+00:00,0.011205751737607674
2018-01-07 00:00:00+00:00,0.00017590655346911855
2018-01-08 00:00:00+00:00,0.006333140280278649
2018-01-09 00:00:00+00:00,0.0076893690880523915
2018-01-10 00:00:00+00:00,0.0017170094649421445
2018-01-11 00:00:00+00:00,0.0018017424437874003
2018-01-12 00:00:00+00:00,0.010271106073136032
2018-01-14 00:00:00+00:00,0.0003557654267584379
2018-01-15 00:00:00+00:00,-0.0027567158929080334
2018-01-16 00:00:00+00:00,0.0006514841476251554
2018-01-17 00:00:00+00:00,0.006654424108459804
2018-01-18 00:00:00+00:00,0.003984021866490728
2018-01-19 00:00:00+00:00,0.009798665654459868
2018-01-21 00:00:00+00:00,0.00041851284391549614
2018-01-22 00:00:00+00:00,0.007459544599392695
2018-01-23 00:00:00+00:00,0.003921835378977772
2018-01-24 00:00:00+00:00,0.0036535612152273616
2018-01-25 00:00:00+00:00,-0.003956624435640271
2018-01-26 00:00:00+00:00,0.008435221207576931
2018-01-28 00:00:00+00:00,-2.6071467253571092e-05
2018-01-29 00:00:00+00:00,-0.004977636704406335
2018-01-30 00:00:00+00:00,-0.015542695008576236
2018-01-31 00:00:00+00:00,-0.0027053189803334394
2018-02-01 00:00:00+00:00,-0.00012835446492739927
2018-02-02 00:00:00+00:00,-0.006850447862370624
2018-02-04 00:00:00+00:00,-0.00013741807718475624
2018-02-05 00:00:00+00:00,-0.014263894871296375
2018-02-06 00:00:00+00:00,-0.005136274365378083
2018-02-07 00:00:00+00:00,0.000812016989563185
2018-02-08 00:00:00+00:00,-0.00732893233062693
2018-02-09 00:00:00+00:00,-0.006212317997828889
2018-02-11 00:00:00+00:00,-1.564388946853193e-05
2018-02-12 00:00:00+00:00,0.01766159596408928
2018-02-13 00:00:00+00:00,0.0025036780306935654
2018-02-14 00:00:00+00:00,0.012978863237496753
2018-02-15 00:00:00+00:00,0.015086997245558178
2018-02-16 00:00:00+00:00,0.003206500319222539
2018-02-18 00:00:00+00:00,-3.376405312270614e-05
2018-02-19 00:00:00+00:00,-0.0036634559619558526
2018-02-20 00:00:00+00:00,0.004698921656881502
2018-02-21 00:00:00+00:00,0.005251629274256873
2018-02-22 00:00:00+00:00,-0.003682648516977411
2018-02-23 00:00:00+00:00,0.006161989675331389
2018-02-25 00:00:00+00:00,9.630116074569105e-05
