datetime,portfolio_return_ml_meta
2018-01-01 00:00:00+00:00,0.0
2018-01-02 00:00:00+00:00,0.0
2018-01-03 00:00:00+00:00,-0.0
2018-01-04 00:00:00+00:00,-0.0
2018-01-05 00:00:00+00:00,0.0001683539095322848
2018-01-07 00:00:00+00:00,3.3140688460725535e-06
2018-01-08 00:00:00+00:00,0.00011154744176224951
2018-01-09 00:00:00+00:00,0.0001341657668060735
2018-01-10 00:00:00+00:00,3.212331932842369e-05
2018-01-11 00:00:00+00:00,3.774774183847483e-05
2018-01-12 00:00:00+00:00,0.00018860574979055522
2018-01-14 00:00:00+00:00,7.345529961507261e-06
2018-01-15 00:00:00+00:00,-5.4251179573540146e-05
2018-01-16 00:00:00+00:00,1.0118618940247625e-05
2018-01-17 00:00:00+00:00,0.00013567088286335548
2018-01-18 00:00:00+00:00,6.986191377955154e-05
2018-01-19 00:00:00+00:00,0.00019857093194347608
2018-01-21 00:00:00+00:00,8.020155671103403e-06
2018-01-22 00:00:00+00:00,0.00015212692794124575
2018-01-23 00:00:00+00:00,7.205108741761878e-05
2018-01-24 00:00:00+00:00,7.35099584018499e-05
2018-01-25 00:00:00+00:00,-7.263787852414535e-05
2018-01-26 00:00:00+00:00,0.00016996326421140793
2018-01-28 00:00:00+00:00,-4.424562853784283e-07
2018-01-29 00:00:00+00:00,-8.49145690787819e-05
2018-01-30 00:00:00+00:00,-0.0002837873998585742
2018-01-31 00:00:00+00:00,-4.8306964251373146e-05
2018-02-01 00:00:00+00:00,-1.4842264475896364e-06
2018-02-02 00:00:00+00:00,-9.128902219071476e-05
2018-02-04 00:00:00+00:00,-2.408757176323388e-06
2018-02-05 00:00:00+00:00,-0.00017184891878131188
2018-02-06 00:00:00+00:00,0.00010400515447195844
2018-02-07 00:00:00+00:00,-1.999110039242612e-05
2018-02-08 00:00:00+00:00,-0.00013861531920289082
2018-02-09 00:00:00+00:00,0.00011004782914030302
2018-02-11 00:00:00+00:00,3.096802123794466e-07
2018-02-12 00:00:00+00:00,0.0003371116197953347
2018-02-13 00:00:00+00:00,4.358252076282453e-05
2018-02-14 00:00:00+00:00,0.00023527691087796504
2018-02-15 00:00:00+00:00,0.0002535880722118211
2018-02-16 00:00:00+00:00,6.945075947487505e-05
2018-02-18 00:00:00+00:00,-6.881846977008054e-07
2018-02-19 00:00:00+00:00,-6.891119871060847e-05
2018-02-20 00:00:00+00:00,8.295544061019627e-05
2018-02-21 00:00:00+00:00,0.00010307273051838338
2018-02-22 00:00:00+00:00,-7.053463864909053e-05
