dataset,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
train,8.781912320219664,0.25569861603203026,0.1,2.5569861603203026,-0.08190796338020302
test,1.1912403058313692,0.10238745229045176,0.10063731318724563,1.0173905587080792,-0.13660150452980555
train_ml,5.87526996843123,0.21226141737138127,0.07887234781095374,2.6912019644723006,-0.08104495160113893
test_ml,1.1516571905923354,0.09989315923258424,0.08477213002453649,1.1783726468082272,-0.11986005731463369
