scenario,runtime_s,bl_train_total_return,bl_train_annualized_return,bl_train_annualized_volatility,bl_train_sharpe_ratio,bl_train_max_drawdown,bl_test_total_return,bl_test_annualized_return,bl_test_annualized_volatility,bl_test_sharpe_ratio,bl_test_max_drawdown,bl_train_ml_total_return,bl_train_ml_annualized_return,bl_train_ml_annualized_volatility,bl_train_ml_sharpe_ratio,bl_train_ml_max_drawdown,bl_test_ml_total_return,bl_test_ml_annualized_return,bl_test_ml_annualized_volatility,bl_test_ml_sharpe_ratio,bl_test_ml_max_drawdown,ml_n_states,ml_rf_n_estimators,ml_rf_max_depth,ml_rf_min_samples_leaf,ml_ml_prob_threshold,ml_ml_threshold_used,ml_ml_auto_threshold,ml_ml_target_exposure,ml_train_avg_exposure,ml_test_avg_exposure,ml_train_avg_exposure_raw,ml_test_avg_exposure_raw,ml_rebalance_min_threshold,ml_cost_aware_rebalance,ml_cost_aware_rebalance_multiplier,ml_cost_aware_alpha_lookback,ml_gate_threshold_skips,ml_gate_cost_skips,ml_gate_threshold_skip_ratio,ml_gate_cost_skip_ratio,ml_gate_annualized_turnover_raw,ml_gate_annualized_turnover_gated,ml_gate_annualized_cost_drag_raw,ml_gate_annualized_cost_drag_gated,ml_gate_mean_order_size_raw,ml_gate_mean_order_size_gated,ml_gate_median_order_size_raw,ml_gate_median_order_size_gated,ml_gate_p90_order_size_raw,ml_gate_p90_order_size_gated
mech1_only,139.4998083114624,8.802773250772054,0.2559657259578067,0.1,2.559657259578068,-0.0813840502993131,1.2367905334154743,0.1052093895344568,0.1004516385038086,1.0473635980608496,-0.1310249204343849,4.767005004482402,0.1911718964789439,0.077191822991507,2.476582221668445,-0.0979507891627806,1.164106867338352,0.100681965507807,0.0806406319151079,1.2485264948543189,-0.1189227172353377,4.0,400.0,4.0,20.0,0.55,0.4592371341866329,1.0,0.1,0.1000288217809577,0.0816112532519516,0.0999999999994095,0.0815505300086697,0.01,0.0,1.0,20.0,1070.0,0.0,0.2351131619424302,0.0,9.95109474878313,9.738641764422765,0.0099510947487831,0.0097386417644227,0.0394884712253298,0.0386454038270744,0.028102604715897,0.0281228743343123,0.0957110416891166,0.0955537329773817
mech3_only,134.93410634994507,9.454723323083618,0.2640658982653894,0.0999999999999999,2.640658982653894,-0.0816914812947935,1.5908083011667995,0.1255728648982848,0.1132912333679249,1.1084076072371285,-0.1406366416484741,11.482648617884449,0.2866396576539125,0.1,2.8663965765391253,-0.1096172141035328,2.1618901859311426,0.1537814829991148,0.126215290067353,1.2184061290597323,-0.1663307456043486,4.0,200.0,4.0,80.0,0.55,0.4094550406386134,1.0,0.15,0.1499999999994765,0.1348447512870336,0.1499999999994765,0.1348447512870336,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,12.109620679069891,12.109620679069891,0.0121096206790698,0.0121096206790698,0.0480540503137694,0.0480540503137694,0.0355231316944842,0.0355231316944842,0.1119027614644063,0.1119027614644063
mech1_plus_2,136.05114269256592,9.720318373504211,0.2672360013717725,0.1,2.6723600137177246,-0.0809328842932638,1.224934254798276,0.1044797465765179,0.1022674601093336,1.0216323595483756,-0.1400653914721331,0.8732814088666883,0.0646751083287462,0.0362088833638688,1.7861668828286057,-0.0342562585745445,0.2593074409660074,0.0290640563810484,0.0239198475544774,1.2150602680412173,-0.0409527918698955,3.0,400.0,6.0,80.0,0.55,0.3853475543210061,1.0,0.2,0.0324236019763543,0.0197611637821134,0.2000000000001008,0.1815218586154561,0.01,1.0,1.0,20.0,259.0,4166.0,0.056910569105691,0.915403208086135,14.483950876737056,0.2544151567196445,0.014483950876737,0.0002544151567196,0.0574759955426073,0.0010095839552366,0.0462699687560305,0.0,0.1251167549740394,0.0
all_three,134.52555918693542,10.262531811087792,0.2734941117371356,0.1,2.7349411173713563,-0.0780898819199884,1.4396847411053608,0.1171981922946536,0.1103372964405812,1.0621811126010972,-0.1361187487544774,0.4670330020863364,0.0390049370776239,0.0292524642355225,1.3333897877314052,-0.0337490485302208,0.0765995663207399,0.0092135348668542,0.0071670609770532,1.2855387858918987,-0.0060210996457376,3.0,400.0,4.0,80.0,0.55,0.4298622009144036,1.0,0.15,0.0185944350902973,0.0059270780782051,0.1500000000005349,0.128848274510935,0.01,1.0,1.0,20.0,480.0,3976.0,0.1054713249835201,0.8736541419468249,11.460976128859553,0.1694558672450662,0.0114609761288595,0.000169455867245,0.0454800640034109,0.0006724439176391,0.0372784842487614,0.0,0.1009385955224465,0.0
