n_states,cv_folds,subtrain_sharpe,val_sharpe,subtrain_total_return,val_total_return,val_max_drawdown,subtrain_risk_on_share,val_risk_on_share,n_risk_on_states,eligible
2,3,2.520197922962955,2.506457170094386,0.2331744083206421,0.1014668854257103,-0.008414745806532675,1.0,1.0,2,False
3,3,2.2564001207701607,2.641054137036029,0.1467335721771875,0.04462948538178191,-0.002989039048704772,0.3528790279978869,0.34284204965662973,2,True
4,3,1.5457495798406289,2.5235511799003194,0.06038649082345704,0.050808533551903144,-0.0024311149354859364,0.13875682338439868,0.15002641310089804,2,False
5,3,1.7722658766172057,3.3686084586376697,0.06317505618351145,0.03498455951735265,-0.0021372868841602016,0.13796443035745729,0.15742208135235078,2,False
6,3,1.5470414023304342,2.352810079754576,0.046925710731842596,0.0444385722810566,-0.0003649400348648678,0.027909843282268008,0.028526148969889063,2,False
