metric,run_a,run_b,diff
sharpe,0.6263851143159448,1.0407933270850267,0.4144082127690819
annual_return,0.06433982717439468,0.10516128515266754,0.04082145797827286
annual_volatility,,0.10103954590792306,
max_drawdown,-0.06652179560282157,-0.13602521454897235,-0.06950341894615078
